"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791111251483103424","Thu May 16 14:19:34 +0000 2024","3","KKP Ungkap 254 Pelaku Sektor Kelautan dan Perikanan Jadi Korban Banjir Bandang Sumbar https://t.co/7sH5WuvilQ","1791111251483103424","","","in","","0","0","1","https://twitter.com/VIVAcoid/status/1791111251483103424","41730943","VIVAcoid"
"1791087465975148786","Thu May 16 14:05:33 +0000 2024","5","@yesmar_banu @unmagnetism Pelaku msh bangga kok tdk ada penyesalan dan tdk merasa bersalah","1791107723784020314","","yesmar_banu","in","Solo - Jombang - Sidoarjo","0","0","0","https://twitter.com/EchoDeReds/status/1791107723784020314","78818434","EchoDeReds"
"1791107616388854232","Thu May 16 14:05:07 +0000 2024","0","Polda Metro Jaya telah menangkap para pelaku begal terhadap seorang calon siswa bintara Polri. https://t.co/IqbBadu09d","1791107616388854232","","","in","Jakarta","0","0","0","https://twitter.com/kompascom/status/1791107616388854232","23343960","kompascom"
"1790952690375377097","Thu May 16 14:03:57 +0000 2024","0","@ahriesonta ada indikasi pelaku ank pejabat ....","1791107320510087305","","ahriesonta","in","","0","0","0","https://twitter.com/AndreantoY90600/status/1791107320510087305","1639829361238114306","AndreantoY90600"
"1791107310838010142","Thu May 16 14:03:54 +0000 2024","0","Assalamualiakum semua Kepada kesian ahli keluarga nie kerana meerkat tengah mencari pelaku DLM video nie . SBB sama islam Atau TIDAK Kita ckp dng baik Nie video nie abg mangsa Tengah cari pelaku DLM video https://t.co/ZnMvbp9pqR","1791107310838010142","https://pbs.twimg.com/ext_tw_video_thumb/1791107258392481792/pu/img/UNVjFZVnb0faVw9f.jpg","","in","","0","0","0","https://twitter.com/HusainihassanH1/status/1791107310838010142","1571619739763609600","HusainihassanH1"
"1791053752335827242","Thu May 16 14:03:21 +0000 2024","0","@fotobiasaa @tanyarlfes Jngn membandingkan hal ini ya Mas. Kasus Alm Vina juga patut diprhatikan mengingat beberapa pelaku masih blm ditangkap. Dan untk Palestina pemerintah &amp; msyarkat Indonesia sdh brusaha dlm menentang penjajahan. Lanjtkan perjuangan kita demi keadilan individu maupun suatu bangsa.","1791107171058684210","","fotobiasaa","in","","0","0","0","https://twitter.com/mistery_zy/status/1791107171058684210","1742247800686157826","mistery_zy"
"1791107118600486943","Thu May 16 14:03:08 +0000 2024","0","Detik-Detik Polisi Tembak Mati Pelaku Begal Calon Siswa Bintara Polri di Jakarta: Aparat kepolisian menangkap pelaku begal terhadap seorang calon siswa Bintara Polri Satrio (18) yang terjadi di Jalan Arjuna Kebon Jeruk Jakarta Barat. https://t.co/vyDbFrrcJK https://t.co/OVc4mZXNbx","1791107118600486943","https://pbs.twimg.com/media/GNtKbt1bsAAhfVO.jpg","","in","Pulo Gadung, Indonesia","0","0","0","https://twitter.com/tvOneNews/status/1791107118600486943","55507370","tvOneNews"
"1791098942383673790","Thu May 16 14:02:33 +0000 2024","0","@kompascom Salah satu pelaku punya bekingan kuat.","1791106972093460486","","kompascom","in","Indonesia","0","1","0","https://twitter.com/RK_Lamongan/status/1791106972093460486","736600582538944512","RK_Lamongan"
"1791106824407830799","Thu May 16 14:01:58 +0000 2024","0","Menyoal buronan Kalau kasus jurkani yg advokasi tambang ilegal yg ini 2 pelaku nya masih berkeliaran gak ya pak? @dennyindrayana https://t.co/drpWT2WeSS","1791106824407830799","https://pbs.twimg.com/media/GNtKKUSbIAAYCnZ.jpg","","in","","0","0","0","https://twitter.com/Rumbunisme/status/1791106824407830799","187239029","Rumbunisme"
"1790939337502437518","Thu May 16 14:00:12 +0000 2024","0","@Adiitoo trus pihak sekolah bilang pelaku udah ditanya nggak ngaku kok! T_T","1791106380436484349","","Adiitoo","in","Kisaran Timur, Indonesia","0","0","0","https://twitter.com/mataharitimoer/status/1791106380436484349","51524534","mataharitimoer"
"1790738964208636143","Thu May 16 13:59:27 +0000 2024","0","@StefanAntonio__ @dishub_sumut Arogansi aparat udh ngerambah ke bagian dishub ya dri awalnya cuman ITN dan ISILOP mana ngelaporin balik make pasal ITE padahal pelaku jg bisa dijerak make pasal Premanisme (?) terus juga tempat korban dicabut kelistrikan nya biar gak bisa berjualan bener bener arogansi","1791106188794605798","","StefanAntonio__","in","JKT/BKS","0","0","0","https://twitter.com/pinjemduluse100/status/1791106188794605798","1735157337172918272","pinjemduluse100"
